iter	Passed	Remaining
0	4	472
1	9	454
2	13	436
3	16	406
4	21	400
5	22	359
6	24	329
7	26	307
8	28	289
9	30	274
10	32	261
11	34	251
12	36	241
13	38	233
14	39	226
15	41	219
16	43	213
17	45	208
18	47	203
19	49	198
20	51	194
21	53	189
22	55	185
23	57	181
24	59	177
25	60	173
26	63	170
27	64	166
28	66	163
29	68	160
30	70	157
31	72	154
32	74	151
33	77	149
34	79	147
35	81	144
36	83	141
37	85	139
38	87	136
39	89	133
40	91	131
41	92	127
42	93	124
43	95	121
44	97	119
45	99	116
46	101	114
47	103	112
48	105	109
49	107	107
50	109	105
51	111	102
52	113	100
53	115	98
54	116	95
55	118	93
56	120	91
57	122	88
58	124	86
59	126	84
60	128	82
61	130	79
62	132	77
63	134	75
64	136	73
65	138	71
66	140	68
67	141	66
68	143	64
69	145	62
70	147	60
71	149	58
72	151	56
73	153	53
74	155	51
75	157	49
76	159	47
77	161	45
78	162	43
79	164	41
80	166	39
81	168	37
82	170	34
83	172	32
84	174	30
85	176	28
86	178	26
87	180	24
88	181	22
89	183	20
90	185	18
91	188	16
92	190	14
93	192	12
94	194	10
95	197	8
96	199	6
97	201	4
98	203	2
99	205	0
