iter	Passed	Remaining
0	148	148023
1	150	74992
2	152	50767
3	154	38494
4	156	31141
5	158	26314
6	160	22820
7	162	20196
8	164	18160
9	166	16525
10	171	15430
11	174	14337
12	176	13391
13	178	12582
14	181	11899
15	185	11380
16	187	10857
17	189	10346
18	191	9898
19	193	9493
20	195	9119
21	197	8786
22	202	8615
23	205	8340
24	207	8080
25	209	7837
26	211	7608
27	213	7397
28	216	7241
29	218	7056
30	220	6882
31	221	6715
32	223	6563
33	225	6418
34	229	6320
35	231	6197
36	233	6073
37	235	5956
38	237	5846
39	239	5738
40	240	5636
41	244	5584
42	246	5492
43	248	5402
44	250	5316
45	252	5239
46	254	5161
47	256	5087
48	259	5032
49	261	4966
50	263	4900
51	265	4835
52	267	4776
53	269	4717
54	271	4669
55	274	4621
56	276	4566
57	277	4513
58	279	4465
59	281	4415
60	283	4366
61	287	4346
62	289	4302
63	291	4258
64	293	4215
65	295	4175
66	296	4135
67	298	4096
68	302	4083
69	304	4046
70	306	4008
71	308	3974
72	310	3940
73	312	3905
74	313	3872
75	317	3862
76	319	3830
77	321	3799
78	323	3769
79	325	3739
80	327	3710
81	328	3681
82	330	3655
83	333	3632
84	335	3606
85	336	3581
86	338	3555
87	340	3530
88	342	3506
89	346	3504
90	348	3481
91	350	3458
92	352	3435
93	354	3413
94	356	3391
95	359	3382
96	361	3367
97	364	3352
98	366	3332
99	370	3331
100	375	3343
101	377	3325
102	379	3306
103	381	3286
104	383	3268
105	385	3249
106	387	3235
107	390	3223
108	392	3205
109	394	3188
110	395	3171
111	397	3153
112	399	3136
113	403	3135
114	405	3120
115	407	3104
116	408	3085
117	410	3070
118	412	3054
119	414	3039
120	418	3038
121	420	3023
122	421	3008
123	423	2994
124	425	2979
125	427	2965
126	429	2949
127	433	2954
128	435	2941
129	437	2928
130	439	2914
131	441	2901
132	443	2887
133	444	2875
134	448	2871
135	450	2860
136	452	2848
137	454	2836
138	456	2826
139	458	2815
140	465	2835
141	466	2820
142	469	2810
143	471	2804
144	476	2812
145	479	2801
146	481	2791
147	482	2779
148	485	2772
149	487	2763
150	494	2781
151	498	2781
152	501	2778
153	508	2794
154	512	2792
155	515	2790
156	526	2825
157	530	2824
158	533	2820
159	539	2830
160	540	2817
161	544	2815
162	547	2809
163	552	2813
164	558	2826
165	561	2822
166	567	2832
167	570	2826
168	574	2822
169	576	2815
170	578	2805
171	583	2810
172	586	2802
173	588	2793
174	590	2784
175	593	2776
176	597	2777
177	599	2767
178	601	2757
179	603	2747
180	605	2738
181	607	2728
182	609	2721
183	612	2717
184	614	2708
185	616	2700
186	620	2695
187	623	2691
188	627	2693
189	630	2688
190	633	2683
191	636	2679
192	641	2682
193	644	2676
194	646	2668
195	648	2661
196	651	2653
197	654	2649
198	660	2657
199	664	2658
200	672	2672
201	675	2669
202	680	2672
203	683	2666
204	689	2673
205	691	2665
206	693	2656
207	695	2648
208	697	2641
209	701	2639
210	703	2632
211	705	2623
212	707	2614
213	709	2606
214	711	2599
215	714	2591
216	717	2589
217	719	2581
218	721	2574
219	724	2567
220	726	2559
221	728	2551
222	732	2550
223	734	2543
224	735	2534
225	737	2526
226	739	2519
227	741	2510
228	744	2504
229	746	2498
230	748	2491
231	750	2483
232	752	2477
233	754	2471
234	757	2465
235	759	2459
236	761	2451
237	763	2444
238	765	2437
239	767	2429
240	769	2422
241	772	2419
242	774	2412
243	776	2405
244	778	2398
245	780	2391
246	782	2384
247	785	2382
248	787	2376
249	789	2369
250	791	2363
251	793	2356
252	795	2349
253	797	2342
254	801	2341
255	803	2334
256	805	2329
257	807	2322
258	809	2316
259	811	2309
260	814	2307
261	817	2302
262	821	2301
263	823	2296
264	825	2290
265	831	2293
266	834	2292
267	837	2287
268	839	2281
269	841	2275
270	846	2276
271	848	2270
272	850	2264
273	852	2258
274	854	2251
275	855	2245
276	859	2242
277	862	2238
278	864	2232
279	865	2226
280	867	2220
281	870	2215
282	872	2210
283	875	2208
284	878	2203
285	880	2197
286	882	2191
287	884	2185
288	885	2179
289	890	2179
290	892	2173
291	893	2167
292	895	2161
293	897	2155
294	899	2149
295	901	2145
296	905	2142
297	907	2137
298	909	2131
299	911	2125
300	913	2120
301	914	2114
302	918	2113
303	920	2108
304	922	2102
305	924	2097
306	926	2091
307	928	2086
308	930	2080
309	934	2079
310	936	2073
311	937	2068
312	939	2062
313	941	2057
314	943	2051
315	945	2047
316	948	2044
317	950	2039
318	952	2033
319	954	2028
320	956	2023
321	958	2018
322	962	2018
323	964	2013
324	966	2007
325	968	2002
326	970	1997
327	972	1992
328	974	1986
329	977	1985
330	979	1980
331	981	1975
332	983	1970
333	985	1965
334	987	1960
335	989	1956
336	993	1953
337	994	1948
338	996	1943
339	998	1938
340	1000	1933
341	1002	1928
342	1005	1926
343	1008	1922
344	1010	1917
345	1011	1912
346	1013	1907
347	1016	1903
348	1017	1898
349	1022	1898
350	1024	1894
351	1027	1890
352	1029	1887
353	1032	1883
354	1037	1884
355	1039	1880
356	1041	1875
357	1043	1870
358	1045	1866
359	1047	1861
360	1051	1860
361	1053	1857
362	1056	1853
363	1058	1849
364	1060	1845
365	1062	1841
366	1067	1841
367	1069	1837
368	1073	1835
369	1075	1830
370	1077	1826
371	1080	1824
372	1082	1820
373	1084	1815
374	1086	1811
375	1088	1806
376	1090	1802
377	1092	1797
378	1096	1796
379	1098	1792
380	1101	1789
381	1103	1785
382	1105	1781
383	1108	1777
384	1111	1776
385	1113	1771
386	1115	1767
387	1117	1762
388	1119	1758
389	1121	1753
390	1123	1749
391	1127	1748
392	1129	1743
393	1130	1739
394	1132	1734
395	1134	1730
396	1136	1725
397	1139	1723
398	1141	1719
399	1143	1715
400	1145	1711
401	1147	1707
402	1150	1703
403	1151	1699
404	1156	1698
405	1157	1694
406	1159	1689
407	1161	1685
408	1163	1681
409	1165	1676
410	1167	1672
411	1171	1671
412	1173	1667
413	1175	1663
414	1176	1659
415	1178	1654
416	1180	1650
417	1184	1648
418	1186	1644
419	1188	1640
420	1189	1636
421	1191	1632
422	1193	1628
423	1195	1624
424	1199	1622
425	1201	1619
426	1203	1614
427	1205	1610
428	1207	1607
429	1209	1603
430	1213	1602
431	1215	1598
432	1218	1595
433	1220	1592
434	1223	1589
435	1226	1586
436	1229	1583
437	1231	1579
438	1233	1575
439	1235	1571
440	1239	1570
441	1244	1570
442	1246	1566
443	1249	1564
444	1251	1561
445	1253	1557
446	1255	1553
447	1263	1556
448	1265	1552
449	1267	1548
450	1268	1544
451	1270	1540
452	1274	1539
453	1276	1535
454	1278	1531
455	1280	1527
456	1282	1524
457	1284	1520
458	1288	1518
459	1290	1514
460	1292	1510
461	1293	1506
462	1295	1502
463	1297	1499
464	1299	1495
465	1303	1493
466	1305	1489
467	1307	1485
468	1309	1482
469	1310	1478
470	1312	1474
471	1314	1470
472	1318	1468
473	1320	1465
474	1322	1461
475	1323	1457
476	1325	1453
477	1327	1449
478	1329	1445
479	1333	1444
480	1335	1441
481	1337	1437
482	1339	1433
483	1341	1430
484	1343	1426
485	1345	1423
486	1348	1420
487	1350	1416
488	1352	1413
489	1354	1410
490	1357	1407
491	1359	1403
492	1362	1401
493	1364	1398
494	1366	1394
495	1368	1390
496	1370	1387
497	1372	1383
498	1376	1381
499	1378	1378
500	1380	1374
501	1382	1371
502	1384	1367
503	1385	1363
504	1387	1360
505	1391	1358
506	1393	1355
507	1395	1351
508	1397	1348
509	1399	1344
510	1401	1341
511	1403	1337
512	1406	1335
513	1408	1331
514	1410	1328
515	1412	1324
516	1414	1321
517	1416	1317
518	1417	1314
519	1421	1312
520	1423	1308
521	1425	1305
522	1427	1301
523	1428	1297
524	1430	1294
525	1432	1290
526	1436	1289
527	1438	1285
528	1439	1282
529	1441	1278
530	1443	1275
531	1445	1271
532	1450	1270
533	1452	1267
534	1453	1263
535	1455	1260
536	1457	1256
537	1459	1253
538	1461	1249
539	1465	1248
540	1467	1245
541	1469	1241
542	1472	1239
543	1474	1235
544	1477	1233
545	1480	1230
546	1481	1227
547	1483	1223
548	1485	1220
549	1487	1217
550	1489	1214
551	1496	1214
552	1498	1211
553	1501	1209
554	1504	1206
555	1509	1205
556	1511	1202
557	1513	1198
558	1515	1195
559	1517	1192
560	1519	1188
561	1521	1185
562	1525	1183
563	1526	1180
564	1528	1177
565	1530	1173
566	1532	1170
567	1534	1167
568	1538	1165
569	1540	1162
570	1542	1158
571	1544	1155
572	1546	1152
573	1548	1148
574	1551	1146
575	1553	1143
576	1555	1140
577	1557	1137
578	1559	1134
579	1562	1131
580	1564	1127
581	1567	1126
582	1570	1123
583	1572	1119
584	1573	1116
585	1575	1113
586	1577	1110
587	1581	1107
588	1583	1104
589	1585	1101
590	1587	1098
591	1589	1095
592	1592	1092
593	1597	1091
594	1598	1088
595	1600	1085
596	1602	1082
597	1604	1078
598	1613	1080
599	1615	1077
600	1620	1075
601	1624	1073
602	1628	1072
603	1631	1069
604	1634	1066
605	1642	1068
606	1646	1065
607	1650	1064
608	1657	1064
609	1660	1061
610	1663	1058
611	1671	1059
612	1674	1057
613	1681	1056
614	1686	1056
615	1689	1053
616	1692	1050
617	1694	1047
618	1696	1044
619	1702	1043
620	1704	1040
621	1706	1037
622	1708	1034
623	1711	1031
624	1717	1030
625	1719	1027
626	1723	1025
627	1725	1022
628	1727	1019
629	1733	1018
630	1736	1015
631	1739	1012
632	1742	1010
633	1749	1009
634	1753	1008
635	1757	1005
636	1762	1004
637	1765	1001
638	1769	999
639	1771	996
640	1780	996
641	1783	994
642	1786	991
643	1788	988
644	1794	987
645	1797	984
646	1800	982
647	1803	979
648	1806	976
649	1810	974
650	1812	971
651	1815	968
652	1818	966
653	1820	963
654	1824	960
655	1827	958
656	1831	955
657	1839	956
658	1842	953
659	1845	950
660	1849	948
661	1855	947
662	1857	944
663	1859	940
664	1861	937
665	1873	939
666	1876	936
667	1878	933
668	1880	930
669	1887	929
670	1890	926
671	1894	924
672	1905	925
673	1935	935
674	1938	933
675	1941	930
676	1976	943
677	1986	943
678	1990	941
679	1994	938
680	1999	936
681	2004	934
682	2015	935
683	2018	932
684	2021	929
685	2024	926
686	2027	923
687	2030	920
688	2036	919
689	2040	916
690	2043	913
691	2045	910
692	2047	907
693	2051	904
694	2054	901
695	2056	898
696	2058	894
697	2060	891
698	2062	888
699	2064	884
700	2067	882
701	2070	878
702	2071	875
703	2073	871
704	2075	868
705	2078	865
706	2081	862
707	2084	859
708	2086	856
709	2087	852
710	2089	849
711	2091	846
712	2093	842
713	2097	840
714	2099	836
715	2101	833
716	2103	830
717	2105	826
718	2107	823
719	2109	820
720	2112	817
721	2114	814
722	2116	810
723	2117	807
724	2119	804
725	2121	800
726	2125	798
727	2127	795
728	2129	791
729	2131	788
730	2133	785
731	2135	781
732	2137	778
733	2140	775
734	2142	772
735	2144	769
736	2146	765
737	2148	762
738	2150	759
739	2152	756
740	2155	753
741	2157	750
742	2159	746
743	2161	743
744	2163	740
745	2165	737
746	2169	734
747	2171	731
748	2173	728
749	2175	725
750	2177	721
751	2179	718
752	2181	715
753	2184	712
754	2186	709
755	2188	706
756	2190	703
757	2192	699
758	2194	696
759	2196	693
760	2199	690
761	2201	687
762	2203	684
763	2205	681
764	2207	677
765	2208	674
766	2212	672
767	2214	668
768	2216	665
769	2218	662
770	2220	659
771	2222	656
772	2223	653
773	2227	650
774	2229	647
775	2231	644
776	2233	640
777	2235	637
778	2236	634
779	2238	631
780	2243	629
781	2245	625
782	2247	622
783	2250	619
784	2252	616
785	2253	613
786	2257	610
787	2259	607
788	2261	604
789	2263	601
790	2265	598
791	2267	595
792	2279	594
793	2287	593
794	2290	590
795	2292	587
796	2296	585
797	2298	581
798	2302	579
799	2305	576
800	2307	573
801	2309	570
802	2311	567
803	2313	563
804	2314	560
805	2318	558
806	2320	554
807	2322	551
808	2324	548
809	2326	545
810	2327	542
811	2331	539
812	2333	536
813	2336	533
814	2338	530
815	2340	527
816	2342	524
817	2348	522
818	2351	519
819	2354	516
820	2356	513
821	2358	510
822	2363	508
823	2365	505
824	2367	502
825	2369	499
826	2371	496
827	2375	493
828	2377	490
829	2379	487
830	2381	484
831	2383	481
832	2385	478
833	2387	475
834	2391	472
835	2393	469
836	2394	466
837	2396	463
838	2398	460
839	2400	457
840	2402	454
841	2406	451
842	2407	448
843	2409	445
844	2411	442
845	2413	439
846	2416	436
847	2419	433
848	2421	430
849	2423	427
850	2425	424
851	2427	421
852	2429	418
853	2431	415
854	2434	412
855	2436	409
856	2438	406
857	2440	403
858	2442	400
859	2445	398
860	2448	395
861	2450	392
862	2452	389
863	2454	386
864	2456	383
865	2458	380
866	2460	377
867	2463	374
868	2465	371
869	2467	368
870	2469	365
871	2471	362
872	2473	359
873	2475	356
874	2478	354
875	2480	351
876	2482	348
877	2484	345
878	2486	342
879	2488	339
880	2491	336
881	2493	333
882	2495	330
883	2497	327
884	2498	324
885	2500	321
886	2502	318
887	2505	316
888	2508	313
889	2510	310
890	2512	307
891	2514	304
892	2515	301
893	2517	298
894	2521	295
895	2523	292
896	2525	290
897	2527	287
898	2529	284
899	2531	281
900	2533	278
901	2536	275
902	2539	272
903	2541	269
904	2543	266
905	2545	264
906	2547	261
907	2551	258
908	2553	255
909	2555	252
910	2557	249
911	2558	246
912	2560	244
913	2562	241
914	2566	238
915	2568	235
916	2569	232
917	2571	229
918	2573	226
919	2575	223
920	2577	221
921	2581	218
922	2583	215
923	2584	212
924	2586	209
925	2588	206
926	2590	203
927	2592	201
928	2595	198
929	2597	195
930	2599	192
931	2601	189
932	2603	186
933	2605	184
934	2607	181
935	2610	178
936	2612	175
937	2614	172
938	2616	169
939	2618	167
940	2620	164
941	2624	161
942	2627	158
943	2631	156
944	2635	153
945	2643	150
946	2646	148
947	2649	145
948	2651	142
949	2656	139
950	2658	137
951	2661	134
952	2663	131
953	2665	128
954	2670	125
955	2672	123
956	2675	120
957	2677	117
958	2680	114
959	2686	111
960	2689	109
961	2691	106
962	2694	103
963	2697	100
964	2702	98
965	2704	95
966	2706	92
967	2709	89
968	2711	86
969	2716	84
970	2718	81
971	2720	78
972	2722	75
973	2724	72
974	2726	69
975	2730	67
976	2733	64
977	2735	61
978	2738	58
979	2741	55
980	2746	53
981	2749	50
982	2751	47
983	2753	44
984	2755	41
985	2757	39
986	2762	36
987	2764	33
988	2767	30
989	2769	27
990	2771	25
991	2775	22
992	2778	19
993	2781	16
994	2783	13
995	2785	11
996	2789	8
997	2792	5
998	2794	2
999	2796	0
